target,algebraic_status,algebraic_claim,rows_total,empirical_rows,cross_scale_rows,persistent_rows,weak_or_null_rows,low_support_rows,best_lift,best_no_parity_lift,min_no_parity_lift,best_null_margin,best_top1pct_lift
director_radius_sq_square,EMPIRICAL_OPEN,,3,3,0,2,1,0,33.26996197718631,33.26996197718631,33.26996197718631,29.70870841593275,
G_square,EMPIRICAL_OPEN,,30,30,15,13,7,8,27.950310559006212,25.672900227002486,16.6267624368183,27.950310559006212,30.555555555555557
J_exradius_semiprime,EMPIRICAL_OPEN,,18,18,15,18,0,0,17.190683704075564,17.190683704075564,15.49671312839257,14.671142881761867,100.0
h_integer,EMPIRICAL_OPEN,,30,30,15,13,9,5,60.908084163898124,17.090511348099536,13.04281110940617,57.24508050089446,61.76470588235294
X_semiprime,EMPIRICAL_OPEN,,46,46,15,39,1,1,20.942408376963353,16.916330219654522,15.288968697554004,15.880743066972501,100.0
EA_exradius_semiprime,EMPIRICAL_OPEN,,18,18,15,18,0,0,16.671224800034096,16.671224800034096,15.700199422897107,14.390635448455708,100.00000000000001
K_semiperimeter_semiprime,EMPIRICAL_OPEN,,23,23,15,20,1,0,15.972846161525409,15.972846161525409,14.630668719098253,13.03598640448973,100.0
EA_semiprime,EMPIRICAL_OPEN,,5,5,0,4,1,0,15.700199422897107,15.700199422897107,15.700199422897107,12.388477522464989,
EA_omega_2,EMPIRICAL_OPEN,,3,3,0,3,0,0,15.700199422897107,15.700199422897107,15.700199422897107,13.10278927342003,
J_semiprime,EMPIRICAL_OPEN,,5,5,0,4,1,0,15.49671312839257,15.49671312839257,15.49671312839257,13.06827238286126,
D_minus_X_semiprime,EMPIRICAL_OPEN,,3,3,0,3,0,0,15.49671312839257,15.49671312839257,15.49671312839257,13.693192190096257,
X_omega_2,EMPIRICAL_OPEN,,7,7,0,7,0,0,15.969062784349406,15.288968697554004,15.288968697554004,15.880743066972501,
X_focus_distance_semiprime,EMPIRICAL_OPEN,,3,3,0,3,0,0,15.288968697554004,15.288968697554004,15.288968697554004,12.482000632137016,
same_focus_distance_bucket,EMPIRICAL_OPEN,,3,3,0,3,0,0,15.288968697554004,15.288968697554004,15.288968697554004,13.165292308359076,
P_perimeter_omega_3,EMPIRICAL_OPEN,,3,3,0,2,1,0,14.8305539458717,14.8305539458717,14.8305539458717,12.069620750451648,
K_omega_2,EMPIRICAL_OPEN,,3,3,0,3,0,0,14.8305539458717,14.8305539458717,14.8305539458717,11.841026261350576,
D_plus_X_semiprime,EMPIRICAL_OPEN,,3,3,0,3,0,0,14.8305539458717,14.8305539458717,14.8305539458717,11.847672125868582,
R_inradius_semiprime,EMPIRICAL_OPEN,,23,23,15,22,1,0,14.616933104890284,14.616933104890284,13.957678414588155,12.368630573301633,100.0
R_inradius_omega_2,EMPIRICAL_OPEN,,3,3,0,3,0,0,13.957678414588155,13.957678414588155,13.957678414588155,11.261054867188426,
K_distinct_omega_2,EMPIRICAL_OPEN,,5,5,0,4,1,0,10.866629267177792,10.866629267177792,10.866629267177792,8.865363688514439,
F_semiprime,EMPIRICAL_OPEN,,46,46,15,40,1,0,9.71886726389837,9.534987975924047,8.729553623485542,8.518452305641194,51.328903654485046
F_omega_2,EMPIRICAL_OPEN,,3,3,0,3,0,0,9.104438110866571,9.042399151580165,9.042399151580165,7.222788020450356,
F_latus_rectum_omega_3,EMPIRICAL_OPEN,,3,3,0,3,0,0,9.104438110866571,9.042399151580165,9.042399151580165,7.293192143079873,
F_latus_semirectum_semiprime,EMPIRICAL_OPEN,,3,3,0,3,0,0,9.104438110866571,9.042399151580165,9.042399151580165,7.193944609599933,
W_semiprime,EMPIRICAL_OPEN,,37,37,15,31,1,1,10.90909090909091,6.882625354709534,6.452077765550491,6.472349256948893,53.54166666666667
W_omega_2,EMPIRICAL_OPEN,,3,3,0,3,0,0,6.708353692269796,6.539726036486446,6.539726036486446,5.325218789786252,
X_smooth_7,EMPIRICAL_OPEN,,18,18,15,12,0,6,5.887547836326171,5.887547836326171,5.450135941069819,4.4744713118092925,72.09302325581396
semi_latus_distinct_omega_2,EMPIRICAL_OPEN,,21,21,15,21,0,0,5.853737984311766,5.853737984311766,4.58609562379222,4.485549378453715,51.324503311258276
