b,e,u,k,D_plus_F,b_even,param_hit,m,n,t,sign_branch
4,1,9,7,49,True,True,1,2,1,
6,7,19,17,289,True,True,1,3,1,
8,2,18,14,196,True,True,1,2,2,
8,17,33,31,961,True,True,1,4,1,
10,7,27,23,529,True,True,5,1,1,
10,31,51,49,2401,True,True,1,5,1,
12,3,27,21,441,True,True,1,2,3,
12,14,38,34,1156,True,True,1,3,2,
12,49,73,71,5041,True,True,1,6,1,
14,23,51,47,2209,True,True,7,1,1,
14,71,99,97,9409,True,True,1,7,1,
16,4,36,28,784,True,True,1,2,4,
16,34,66,62,3844,True,True,1,4,2,
16,97,129,127,16129,True,True,1,8,1,
18,21,57,51,2601,True,True,1,3,3,
18,47,83,79,6241,True,True,9,1,1,
18,127,163,161,25921,True,True,1,9,1,
20,5,45,35,1225,True,True,1,2,5,
20,14,54,46,2116,True,True,2,5,1,
20,62,102,98,9604,True,True,1,5,2,
20,161,201,199,39601,True,True,1,10,1,
22,79,123,119,14161,True,True,11,1,1,
22,199,243,241,58081,True,True,1,11,1,
24,6,54,42,1764,True,True,1,2,6,
24,28,76,68,4624,True,True,1,3,4,
24,51,99,93,8649,True,True,1,4,3,
24,98,146,142,20164,True,True,1,6,2,
24,241,289,287,82369,True,True,1,12,1,
26,119,171,167,27889,True,True,13,1,1,
26,287,339,337,113569,True,True,1,13,1,
28,1,57,41,1681,True,True,7,2,1,
28,7,63,49,2401,True,True,1,2,7,
28,46,102,94,8836,True,True,2,7,1,
28,142,198,194,37636,True,True,1,7,2,
30,21,81,69,4761,True,True,5,1,3,
30,35,95,85,7225,True,True,1,3,5,
30,93,153,147,21609,True,True,1,5,3,
30,167,227,223,49729,True,True,15,1,1,
32,8,72,56,3136,True,True,1,2,8,
32,68,132,124,15376,True,True,1,4,4,
32,194,258,254,64516,True,True,1,8,2,
34,223,291,287,82369,True,True,17,1,1,
36,9,81,63,3969,True,True,1,2,9,
36,17,89,73,5329,True,True,9,2,1,
36,42,114,102,10404,True,True,1,3,6,
36,94,166,158,24964,True,True,2,9,1,
36,147,219,213,45369,True,True,1,6,3,
36,254,326,322,103684,True,True,1,9,2,
38,287,363,359,128881,True,True,19,1,1,
40,10,90,70,4900,True,True,1,2,10,
40,28,108,92,8464,True,True,2,5,2,
40,85,165,155,24025,True,True,1,4,5,
40,124,204,196,38416,True,True,1,5,4,
42,23,107,89,7921,True,True,3,7,1,
42,49,133,119,14161,True,True,1,3,7,
42,69,153,141,19881,True,True,7,1,3,
42,213,297,291,84681,True,True,1,7,3,
44,11,99,77,5929,True,True,1,2,11,
44,41,129,113,12769,True,True,11,2,1,
44,158,246,238,56644,True,True,2,11,1,
48,12,108,84,7056,True,True,1,2,12,
48,41,137,119,14161,True,True,3,8,1,
48,56,152,136,18496,True,True,1,3,8,
48,102,198,186,34596,True,True,1,4,6,
48,196,292,284,80656,True,True,1,6,4,
48,291,387,381,145161,True,True,1,8,3,
50,35,135,115,13225,True,True,5,1,5,
50,155,255,245,60025,True,True,1,5,5,
52,13,117,91,8281,True,True,1,2,13,
52,73,177,161,25921,True,True,13,2,1,
52,238,342,334,111556,True,True,2,13,1,
54,63,171,153,23409,True,True,1,3,9,
54,141,249,237,56169,True,True,9,1,3,
56,2,114,82,6724,True,True,4,7,1,
56,14,126,98,9604,True,True,1,2,14,
56,92,204,188,35344,True,True,2,7,2,
56,119,231,217,47089,True,True,1,4,7,
56,284,396,388,150544,True,True,1,7,4,
60,15,135,105,11025,True,True,1,2,15,
60,42,162,138,19044,True,True,2,5,3,
60,70,190,170,28900,True,True,1,3,10,
60,89,209,191,36481,True,True,3,10,1,
60,113,233,217,47089,True,True,15,2,1,
60,186,306,294,86436,True,True,1,5,6,
60,245,365,355,126025,True,True,1,6,5,
64,16,144,112,12544,True,True,1,2,16,
64,136,264,248,61504,True,True,1,4,8,
66,7,139,103,10609,True,True,11,3,1,
66,77,209,187,34969,True,True,1,3,11,
66,119,251,233,54289,True,True,3,11,1,
66,237,369,357,127449,True,True,11,1,3,
68,17,153,119,14161,True,True,1,2,17,
68,161,297,281,78961,True,True,17,2,1,
70,49,189,161,25921,True,True,5,1,7,
70,115,255,235,55225,True,True,7,1,5,
70,217,357,343,117649,True,True,1,5,7,
72,18,162,126,15876,True,True,1,2,18,
72,34,178,146,21316,True,True,4,9,1,
72,84,228,204,41616,True,True,1,3,12,
72,153,297,279,77841,True,True,1,4,9,
72,188,332,316,99856,True,True,2,9,2,
72,294,438,426,181476,True,True,1,6,6,
76,19,171,133,17689,True,True,1,2,19,
76,217,369,353,124609,True,True,19,2,1,
78,31,187,151,22801,True,True,13,3,1,
78,91,247,221,48841,True,True,1,3,13,
78,191,347,329,108241,True,True,3,13,1,
80,20,180,140,19600,True,True,1,2,20,
80,56,216,184,33856,True,True,2,5,4,
80,170,330,310,96100,True,True,1,4,10,
80,248,408,392,153664,True,True,1,5,8,
84,3,171,123,15129,True,True,7,2,3,
84,21,189,147,21609,True,True,1,2,21,
