target,target_class,feature_set,feature_kind,train_window,test_window,model,train_positive_rows,test_positive_rows,test_base_rate,precision,recall,f1,observed_lift,predicted_positive,null_lift_mean,null_lift_max,null_f1_mean,null_f1_max,hash
t2_X_omega_same,non_circular_dynamic,dynamic_factor_signature,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.857008907641819,0.6589762076423936,0.7450580802934583,6.17886739467786,4266,1.080433876324063,1.6054510190196698,0.17137748211538745,0.2638239339752407,e2d5148d416525eddbedcea1841f26579e379ec6e46f95b8c0352bcd2b4774a7
t2_X_omega_same,non_circular_dynamic,be_pair24,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.23748338502436864,0.4830569574621485,0.3184221469732074,1.7122089763833357,11285,1.0022228781454892,1.079764276288511,0.20312725425928024,0.2187129511073173,fb3a6c4d52198908a58320be23828e2951f083321b3791426aa10f5ef9750286
t2_X_omega_same,non_circular_dynamic,current_factor_signature,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.22706077015643802,0.5441600576784427,0.3204202929314371,1.6370639521012116,13296,1.004196978849255,1.195101335502808,0.2290926788730712,0.2730997681288314,ff5ca93e6f7aa23ba4d87906ca7c94960c2a0ef4c777a608f61a85f4a60c58f7
t2_X_omega_same,non_circular_dynamic,b_only24,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.15862385321100916,0.6232876712328768,0.25288869387158114,1.1436471031795903,21800,0.9988634391134067,1.0567171353040137,0.2367783373733332,0.24738381906155057,8abb6daf9045efb5375a75b42d9a5fd25be395e637ee435be4b808746222230e
t2_X_omega_same,non_circular_dynamic,qa_orbit_id24,orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.15795454545454546,0.6263518385003605,0.25228691738057213,1.1388215245461102,22000,1.00340281292008,1.0567848736759837,0.23809991699625976,0.24798667036934186,92c89ac584ada64afcd8dc66c81fabf6c1d36803dad0cadf185c7092103e215e
t2_X_omega_same,non_circular_dynamic,e_only24,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.1459090909090909,0.7521629416005768,0.24440670024598804,1.0519761420987088,28600,0.9993400210326077,1.0312596559892884,0.2374783071273306,0.245529784407888,64b9d52742c3720e5931f60b56a150e28cf43d1bda3fad9cbfc9ff85ff1d6177
t2_X_omega_same,non_circular_dynamic,be_pair9,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.14483779257701446,0.6703316510454218,0.2382065652522018,1.0442522896684532,25677,1.0023467684744014,1.0409306275153416,0.228824121512863,0.2372641661042008,ed0e7ea769f1fa31bb927941a361ff859a2c1c41c6042902c8dd4a5ae72a4e38
t2_X_omega_same,non_circular_dynamic,qa_orbit_family24,orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.13872195512820512,0.9985580389329488,0.2436021458095154,1.0001582922004695,39936,0.9997366088718554,1.0001582922004695,0.2433976890035955,0.24361113550540087,b299f4301933bbe70b1a943d9399b1abbb3bc488fa3f36609afa16eb4afde665
t2_X_omega_same,non_circular_dynamic,b_only9,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.1387,1.0,0.24361113550540087,1.0,40000,0.999854366399758,1.013242416466055,0.24217187666016202,0.24361113550540087,972f4b9057208ca3956ea8139d36d2fff2b3c896f23605cc13e93801150b33f5
t2_X_omega_same,non_circular_dynamic,e_only9,non_orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.1387,1.0,0.24361113550540087,1.0,40000,1.000547350123826,1.0089105799271625,0.24208716842242253,0.24361113550540087,d9a78aefffa13fb04174b7a08e47fb9025913b2dc5051cdad6b63ed77ae6574c
t2_X_omega_same,non_circular_dynamic,qa_orbit_family9,orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.13857677902621723,0.9870223503965393,0.24303213207882124,0.9991116007658056,39516,0.9999785022232295,1.0039045517517104,0.24340257560452433,0.24361113550540087,61f328a8dc88caa821fc9ef65a3d338d89e801faf87987b7b0de2a128a9f80d5
t2_X_omega_same,non_circular_dynamic,qa_orbit_id9,orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.13857677902621723,0.9870223503965393,0.24303213207882124,0.9991116007658056,39516,0.9997582673107243,1.0039045517517104,0.2433563146640519,0.24361113550540087,4b15a45b79667e1a619cbecd5534279a1f7e5165c1f8e39fea575ed1b61dd9e0
t2_X_omega_same,non_circular_dynamic,qa_orbit_family9_24,orbit,square_1_100,square_101_300,category_rate_threshold,1424,5548,0.1387,0.13840616966580976,0.9704397981254506,0.24226061915046795,0.9978815404888953,38900,0.9996925173587425,1.0041556255294508,0.24325802906076077,0.24365928105579832,26bfca97721f2a5dc1601b478030a1359f0f54d2838b19559e7093532fdf0ffc
t2_F_squarefree_same,non_circular_dynamic,current_factor_signature,non_orbit,square_1_100,square_101_300,category_rate_threshold,6179,24759,0.618975,0.8585496479937805,0.8028595662183449,0.8297712472866924,1.3870506046185718,23153,1.0022867198301038,1.0106968167442716,0.7646087644071704,0.7655964947842764,63b0c60d655efc16cdeb49c1fc349a67a5e519f98c0378663b41deefbf03d828
t2_F_squarefree_same,non_circular_dynamic,dynamic_factor_signature,non_orbit,square_1_100,square_101_300,category_rate_threshold,6179,24759,0.618975,0.7962180579216355,0.9438587988206308,0.8637749727402096,1.2863492999259023,29350,1.020197802525693,1.035934869167868,0.7514899454090644,0.7612560116868835,3376d4997daac3b1dcc509fdc9ea43ca944604da0ee923ae50995504d7ab8b06
