target,target_class,train_positive_rows,train_negative_rows,test_positive_rows,test_negative_rows,min_positive,test_base_rate,best_orbit_feature,best_orbit_lift,best_orbit_null_lift_max,best_non_orbit_feature,best_non_orbit_lift,orbit_specific_margin,verdict,hash
orbit9_24_family_disagree_control,orbit_derived_control,1216,8784,5041,34959,10,0.126025,qa_orbit_family9_24,7.934933544931561,1.0002250506363932,be_pair24,7.920792079207921,0.0141414657236405,ORBIT_DERIVED_CONTROL,9c2a52a58f40e611a59064a4020c45e8f7191c088203e253d0faaf9eb56e9284
orbit24_satellite_control,orbit_derived_control,128,9872,561,39439,10,0.014025,qa_orbit_family24,71.30124777183602,71.30124777183602,be_pair24,71.30124777183602,0.0,ORBIT_DERIVED_CONTROL,bd6c5af1b08c7cf342c767722545e7fe5a8d00a2e511682887278d3178f1ea6a
orbit9_satellite_control,orbit_derived_control,968,9032,4005,35995,10,0.100125,qa_orbit_family9,9.987515605493133,1.0122482032594393,be_pair9,9.987515605493133,0.0,ORBIT_DERIVED_CONTROL,29952f2123a487f5090c452fd73d3663141dc61cb2ed7585b64611f2aa5f2a8a
period9_eq_period24_control,orbit_derived_control,8784,1216,34959,5041,10,0.873975,qa_orbit_id24,1.144197488486513,1.0,be_pair24,1.144197488486513,0.0,ORBIT_DERIVED_CONTROL,f038f47805cf3364a5feaaaca007ff6b2e2f6faca5f03f6872f2b2e07beedca1
t1_gcd_F_current_next_gt1,non_circular_dynamic,5449,4551,21715,18285,10,0.542875,qa_orbit_id24,1.8420446695832373,1.0,b_only9,1.8420446695832373,0.0,NON_ORBIT_BASELINE_COMPETITIVE,afbf1ad9e4b59da4b7398c001a8a5487c9fd4dda9a6e18c68bcfbd7097b3e0b7
t1_gcd_X_current_next_gt1,non_circular_dynamic,10000,0,40000,0,10,1.0,,0.0,0.0,,0.0,0.0,DEGENERATE_OR_LOW_TRAIN_SUPPORT,6bedce624855d505e69733c7f6d2f5e8d66d4e1cbe2b442d136df5fbd711a2b8
t2_F_squarefree_same,non_circular_dynamic,6179,3821,24759,15241,10,0.618975,qa_orbit_family9,1.0,1.0,current_factor_signature,1.3870506046185718,-0.38705060461857177,ORBIT_NULL_COMPETITIVE,44762b7379765e8e71059980152b90c6c01f89e0acbe68df3c06371041864562
t1_F_squarefree_flip,non_circular_dynamic,3842,6158,15206,24794,10,0.38015,qa_orbit_id24,1.4999812502343723,1.0130172719444868,dynamic_factor_signature,2.630540576088386,-1.1305593258540139,NON_ORBIT_BASELINE_COMPETITIVE,046616be8699a28055a8ad18ea7ffc32f0b23bb030cfc5af2a3ff52bb01455ea
t1_X_omega_increases,non_circular_dynamic,4464,5536,17146,22854,10,0.42865,qa_orbit_family9,1.0,1.0,dynamic_factor_signature,2.173274062447322,-1.1732740624473221,ORBIT_NULL_COMPETITIVE,a91b74b521cd3f8c1c8cee7eb3b62e49e2f05b543eb1f9183d9afae8c1fdbf45
t1_F_omega_increases,non_circular_dynamic,4521,5479,18161,21839,10,0.454025,qa_orbit_family9_24,1.0000598243189047,1.00027893316052,dynamic_factor_signature,2.1982672747394765,-1.1982074504205718,ORBIT_NULL_COMPETITIVE,dea0e1067643abe2db00d1f07124cc6c4f8e681bc47d606ee285a600e1bba460
t1_X_squarefree_flip,non_circular_dynamic,2194,7806,8707,31293,10,0.217675,qa_orbit_id24,1.499981250234372,1.116788117374431,dynamic_factor_signature,4.594004823705065,-3.094023573470693,NON_ORBIT_BASELINE_COMPETITIVE,428098d434bee511c614b2ae7bb08659913ba7b1f74073a778ac2a77ce3f7984
t2_X_omega_same,non_circular_dynamic,1424,8576,5548,34452,10,0.1387,qa_orbit_id24,1.1388215245461102,1.0567848736759837,dynamic_factor_signature,6.17886739467786,-5.040045870131749,NON_ORBIT_BASELINE_COMPETITIVE,7487895f47027b65593063822b33b8f243c6c1fe21d7c73840ef9a32eed29709
t1_F_semiprime_flip,non_circular_dynamic,1710,8290,4200,35800,10,0.105,qa_orbit_id24,1.4999812502343721,1.1532795469133028,dynamic_factor_signature,9.523809523809524,-8.023828273575152,NON_ORBIT_BASELINE_COMPETITIVE,3b5ea3f04066023203cff0cd2813a66841836b0ba664272ab0a872ebd577ae5d
t1_X_semiprime_flip,non_circular_dynamic,948,9052,2204,37796,10,0.0551,qa_orbit_id24,1.5241006855815962,1.2915399783257715,current_factor_signature,18.148820326678766,-16.62471964109717,NON_ORBIT_BASELINE_COMPETITIVE,828bbf018ddf093ace8002c2d91af9239dc272e4a81cdb6dc18e0c758609a12d
