site_name,diameter_ft,diameter_my,nearest_my,error_my
"Nine Ladies",35.5,13.051,13,0.051
"Barbrook",47.7,17.537,18,0.463
"Owler Bar",86.6,31.838,32,0.162
"Moscar Moor",54.2,19.926,20,0.074
"Mitchell's Fold",93.3,34.301,34,0.301
"Black Marsh",76.0,27.941,28,0.059
"Castle Rigg",107.8,39.632,40,0.368
"Burnmoor",49.7,18.272,18,0.272
"Seascale",54.6,20.074,20,0.074
"Lacre S",49.7,18.272,18,0.272
"The Hurlers",107.6,39.559,40,0.441
"Nine Stones",136.8,50.294,50,0.294
"Duloo",113.7,41.801,42,0.199
"Treswigger",49.6,18.235,18,0.235
"Leaze",38.6,14.191,14,0.191
"Rough Tor",108.3,39.816,40,0.184
"Dinnever Hill",81.5,29.963,30,0.037
"Nine Maidens Cambourne",150.7,55.404,55,0.404
"Nine Maidens Ding Dong",139.7,51.360,51,0.360
"Boscawen-un",53.6,19.706,20,0.294
"Merry Maidens",71.6,26.324,26,0.324
"Botallack",82.6,30.368,30,0.368
"Grey Wethers South",77.8,28.603,29,0.397
"Grey Wethers North",71.6,26.324,26,0.324
"The Sanctuary",108.5,39.890,40,0.110
"Kerry Pole",104.5,38.419,38,0.419
"Four Stones",129.7,47.684,48,0.316
"Gors-fawr",64.8,23.824,24,0.176
"Castell-Garw",46.8,17.206,17,0.206
"Trecastle SW",34.3,12.610,13,0.390
"Trecastle NE",86.9,31.949,32,0.051
"Maen Mawr",17.2,6.324,6,0.324
"Usk River West",73.2,26.912,27,0.088
"Usk River East",43.7,16.066,16,0.066
"Gray Hill",65.0,23.897,24,0.103
"Upper Auchnagorth",45.0,16.544,17,0.456
"Easter Aquorthies",64.0,23.529,24,0.471
"Sheldon of Bourtie",108.4,39.853,40,0.147
"South Ythsie",28.0,10.294,10,0.294
"Fountain Hill",16.9,6.213,6,0.213
"Westerton",49.0,18.015,18,0.015
"Holywell",37.6,13.824,14,0.176
"Tyre Bagger",59.3,21.801,22,0.199
"Sun Honey",83.2,30.588,31,0.412
"Esslie Major",76.2,28.015,28,0.015
"Esslie Minor",43.6,16.029,16,0.029
"Garrol Wood",58.9,21.654,22,0.346
"Cullerlie",33.4,12.279,12,0.279
"Aquorthies Kingausie",75.1,27.610,28,0.390
"Raedykes",57.1,20.993,21,0.007
"Raedykes N",32.5,11.949,12,0.051
"Carnousie House",84.0,30.882,31,0.118
"Burreldales",21.3,7.831,8,0.169
"Milltown",92.0,33.824,34,0.176
"Urquhart",110.0,40.441,40,0.441
"Clava Middle",103.9,38.199,38,0.199
"Clava SW",103.6,38.088,38,0.088
"Clava NE",103.5,38.051,38,0.051
"Miltown of Clava",59.1,21.728,22,0.272
"Daviot",48.7,17.904,18,0.096
"Castle Dalcross",39.2,14.412,14,0.412
"Easter Delfour",57.2,21.029,21,0.029
"Aviemore",76.0,27.941,28,0.059
"Belladrum",10.8,3.971,4,0.029
"Mains of Gask",119.9,44.081,44,0.081
"West Farr",113.2,41.618,42,0.382
"Farr PO",32.0,11.765,12,0.235
"Seven Brethren",65.5,24.081,24,0.081
"Wamphray",38.0,13.971,14,0.029
"Loupin Stanes",37.7,13.860,14,0.140
"Borrowston Rig",136.0,50.000,50,0.000
"Loch Creran",12.6,4.632,5,0.368
"Killin",32.2,11.838,12,0.162
"Weem Carse",15.4,5.662,6,0.338
"Monzie",16.4,6.029,6,0.029
"Tullybeagies",23.0,8.456,8,0.456
"Meikle Findowie",27.0,9.926,10,0.074
"Leys of Marlee",48.4,17.794,18,0.206
"Blindwells",28.0,10.294,10,0.294
"Courthill",22.8,8.382,8,0.382
"Shianbank",27.5,10.110,10,0.110
"Guildtown",27.0,9.926,10,0.074
"Scone",21.6,7.941,8,0.059
"Spittal of Glenshee",12.7,4.669,5,0.331
