site_code,diameter_ft,type,region
G 8/2,23.2,,Scotland
H 1/1,24.0,,Scotland
N 2/2,24.0,,Scotland
P 2/8a,27.5,,Scotland
P 2/8a,27.5,,Scotland
P 2/3,28.0,,Scotland
B 7/19,30.1,,Scotland
B 7/17,32.0,,Scotland
B 3/4,32.5,,Scotland
B 2/7,33.4,,Scotland
B 6/1,35.6,,Scotland
B 1/18,37.6,,Scotland
B 7/6,39.2,,Scotland
B 2/5,43.6,,Scotland
M 2/14,44.1,,Scotland
A 2/8,44.2,,Scotland
B 1/5,45.0,,Scotland
B 2/16,46.8,,Scotland
P 2/1,48.5,,Scotland
B 1/16,49.0,,Scotland
B 3/1,49.7,,Scotland
A 8/6,54.9,,Scotland
B 3/7,56.4,,Scotland
B 2/17,56.9,,Scotland
B 1/23,57.0,,Scotland
T 7/2,59.1,,Scotland
B 2/4,59.2,,Scotland
B 2/1,59.3,,Scotland
B 6/2,63.0,,Scotland
B 1/6,64.0,,Scotland
A 1/2,65.1,,Scotland
B 2/3,66.9,,Scotland
B 6/1,68.4,,Scotland
B 1/26,67.2,,Scotland
B 7/18,74.3,,Scotland
B 3/1,75.1,,Scotland
B 7/12,76.0,,Scotland
G 4/14,82.1,,Scotland
B 7/15,82.9,,Scotland
B 2/2,83.2,,Scotland
G 4/3,89.1,,Scotland
B 4/4,92.0,,Scotland
B 7/1a,103.9,,Scotland
B 7/1b,104.2,,Scotland
B 1/8,108.4,,Scotland
B 5/1,110.0,,Scotland
B 7/16,113.2,,Scotland
B 7/15,119.9,,Scotland
N 1/13,188.3,,Scotland
G 7/4,37.7,A,Scotland
B 7/12,43.0,A,Scotland
H 1/1,43.3,A,Scotland
G 4/12,54.5,A,Scotland
G 7/2,65.5,A,Scotland
B 7/16,66.8,A,Scotland
G 3/7,69.3,A,Scotland
A 1/2,16.0,B,Scotland
B 1/9,28.0,B,Scotland
B 2/6,58.9,B,Scotland
B 7/18,38.3,egg,Scotland
G 9/15,43.9,egg,Scotland
B 2/4,76.1,egg,Scotland
B 7/1,103.6,egg,Scotland
G 9/10,136.0,egg,Scotland
B 7/10,60.0,compound,Scotland
S 2/4,11.9,,England_Wales
S 5/2,12.0,,England_Wales
W 2/1,13.2,,England_Wales
S 5/2,13.6,,England_Wales
W 8/3,19.2,,England_Wales
S 5/2,19.3,,England_Wales
S 2/5,22.3,,England_Wales
L 2/13,24.0,,England_Wales
W 11/2,24.3,,England_Wales
L 5/1,27.7,,England_Wales
S 5/2,30.9,,England_Wales
L 3/1,31.5,,England_Wales
W 13/1,32.7,,England_Wales
S 5/2,34.3,,England_Wales
D 1/3,33.5,,England_Wales
S 2/4,41.2,,England_Wales
W 6/2,42.0,,England_Wales
W 11/2,43.7,,England_Wales
W 9/4,43.7,,England_Wales
S 5/2,46.8,,England_Wales
L 1/6B,49.7,,England_Wales
L 1/13,49.7,,England_Wales
L 1/6D,52.0,,England_Wales
S 1/10,53.6,,England_Wales
L 1/6C,54.6,,England_Wales
W 5/2,55.5,,England_Wales
W 11/5,58.6,,England_Wales
S 5/2,64.8,,England_Wales
W 11/4,68.2,,England_Wales
S 1/11,71.6,,England_Wales
W 9/2,73.2,,England_Wales
W 11/2,76.3,,England_Wales
S 1/14,77.8,,England_Wales
S 1/1,81.5,,England_Wales
L 1/6B,49.7,,England_Wales
S 2/1,82.6,,England_Wales
S 1/1,86.6,,England_Wales
L 1/1,107.8,,England_Wales
S 1/3,108.3,,England_Wales
S 1/6,108.5,,England_Wales
D 1/9,54.2,,England_Wales
S 5/2,129.7,,England_Wales
S 1/4,147.0,,England_Wales
S 1/3,38.6,A,England_Wales
S 1/16,71.6,A,England_Wales
S 2/1,82.6,A,England_Wales
S 2/2,67.4,A,England_Wales
S 1/13,82.6,A,England_Wales
D 1/8,86.6,A,England_Wales
D 1/7,47.7,B,England_Wales
S 1/7,150.7,B,England_Wales
L 1/10,88.9,D,England_Wales
S 1/7,150.7,D,England_Wales
W 11/3,59.8,egg,England_Wales
S 1/1,136.7,egg,England_Wales
W 5/1,38.2,compound,England_Wales
W 6/1,86.9,compound,England_Wales
